Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,P/E Ratio,Ticker
2024-02-01 00:00:00+05:30,2451.2186812965415,2487.3169390314315,2444.5338097980434,2449.733154296875,1727534,0.0,0.0,63.37315,HINDUNILVR
2024-02-02 00:00:00+05:30,2453.1002669759155,2462.9046485191084,2418.4379701070593,2428.935791015625,1956115,0.0,0.0,63.37315,HINDUNILVR
2024-02-05 00:00:00+05:30,2440.225911861955,2440.9686754309064,2389.4704013169367,2396.1552734375,1315445,0.0,0.0,63.37315,HINDUNILVR
2024-02-06 00:00:00+05:30,2401.5525719574775,2417.7944799403604,2394.7192440317276,2402.939208984375,1557511,0.0,0.0,63.37315,HINDUNILVR
2024-02-07 00:00:00+05:30,2416.3581359170084,2416.3581359170084,2388.2818205203266,2402.047607421875,1149076,0.0,0.0,63.37315,HINDUNILVR
2024-02-08 00:00:00+05:30,2418.2399554824547,2418.2399554824547,2375.8528696838266,2393.728759765625,1758661,0.0,0.0,63.37315,HINDUNILVR
2024-02-09 00:00:00+05:30,2393.728904024632,2405.0188132908975,2382.8846045321643,2400.76025390625,886474,0.0,0.0,63.37315,HINDUNILVR
2024-02-12 00:00:00+05:30,2400.7107944773793,2406.4053147167006,2359.016906098087,2362.631591796875,1292460,0.0,0.0,63.37315,HINDUNILVR
2024-02-13 00:00:00+05:30,2366.939717661667,2377.784016546674,2357.1353360472763,2370.901123046875,957865,0.0,0.0,63.37315,HINDUNILVR
2024-02-14 00:00:00+05:30,2361.987935744685,2370.901097766363,2347.132665708555,2364.909423828125,1397975,0.0,0.0,63.37315,HINDUNILVR
2024-02-15 00:00:00+05:30,2345.4988744012244,2361.690974992887,2324.1071870869932,2328.167724609375,2553695,0.0,0.0,63.37315,HINDUNILVR
2024-02-16 00:00:00+05:30,2347.0831207666456,2359.0169028260184,2334.8524267318912,2352.33203125,2363302,0.0,0.0,63.37315,HINDUNILVR
2024-02-19 00:00:00+05:30,2366.4446099446436,2371.841976579984,2350.896141718204,2364.1171875,576683,0.0,0.0,63.37315,HINDUNILVR
2024-02-20 00:00:00+05:30,2347.2318622504567,2385.211691951965,2345.3500495896837,2380.90380859375,1032995,0.0,0.0,63.37315,HINDUNILVR
2024-02-21 00:00:00+05:30,2380.9039457397457,2399.4234689383275,2371.0004315388983,2383.875,1127778,0.0,0.0,63.37315,HINDUNILVR
2024-02-22 00:00:00+05:30,2396.947369905145,2396.947369905145,2342.9236565518854,2365.05810546875,2258516,0.0,0.0,63.37315,HINDUNILVR
2024-02-23 00:00:00+05:30,2365.5037458365823,2382.2901527232575,2360.9480329502594,2371.000244140625,1210775,0.0,0.0,63.37315,HINDUNILVR
2024-02-26 00:00:00+05:30,2368.0292224849327,2383.3301025680485,2357.036225726578,2381.05224609375,831596,0.0,0.0,63.37315,HINDUNILVR
2024-02-27 00:00:00+05:30,2380.8543458987774,2385.7069710740657,2366.097964878696,2382.09228515625,1120424,0.0,0.0,63.37315,HINDUNILVR
2024-02-28 00:00:00+05:30,2387.8364228178416,2401.602210941811,2377.833776689191,2398.185546875,629152,0.0,0.0,63.37315,HINDUNILVR
2024-02-29 00:00:00+05:30,2401.602072245099,2405.3654558080916,2374.119821727655,2389.024658203125,2848084,0.0,0.0,63.37315,HINDUNILVR
2024-03-01 00:00:00+05:30,2393.6297546415603,2415.2690293259475,2380.804752439456,2386.44970703125,2326244,0.0,0.0,63.37315,HINDUNILVR
2024-03-04 00:00:00+05:30,2392.8870170081723,2404.474080092596,2381.2008220692196,2398.631103515625,1501261,0.0,0.0,63.37315,HINDUNILVR
2024-03-05 00:00:00+05:30,2381.795037043533,2396.6503075448436,2368.029249759652,2376.69482421875,1587199,0.0,0.0,63.37315,HINDUNILVR
